municipality_id,municipality_code,municipality_name_en,municipality_name_np,district_id,is_active
453,MPP,MALIKA,मालिका,43,Y
498,MPQ,MALIKA,मालिका,47,Y
749,MWW,MALIKARJUN,मालिकार्जुन,75,Y
546,MUU,MALLARANI,मल्लरानी,52,Y
384,MFF,MANAHARI,मनहरी,34,Y
443,MCC,MANANG NGISYANG,मनाङ ङिस्याङ,41,Y
201,MQQ,MANARA,मनरा शिसवा,18,Y
317,MQR,MANDANDEUPUR,मण्डनदेउपुर,27,Y
544,MFG,MANDAVI,माण्डवी,52,Y
119,MYY,MANEBHANJYANG,मानेभञ्ज्याङ,12,Y
452,MQS,MANGALA,मंगला,43,Y
689,MZZ,MANGALSEN,मंगलसेन,69,Y
25,MCD,MANSEBUNGMUN,माङसेबुङ,3,Y
282,MSS,MANTHALI,मन्थली,24,Y
108,MLL,MAPYA DUDHKOSHI,माप्य दुधकोशी,11,Y
518,MHH,MARCHAWARI,मर्चवारी,49,Y
279,MYZ,MARIN,मरिण,23,Y
753,MPR,MARMA,मार्मा,75,Y
413,MXX,MARSYANGDI,मर्स्याङदी,37,Y
680,MXY,MASTA,मष्टा,68,Y
504,MKK,MATHA GADHI,माथागढी,48,Y
202,MPS,MATIHANI,मटिहानी,18,Y
240,MRS,MAULAPUR,मौलापुर,20,Y
519,MUV,MAYADEVI,मायादेवी,49,Y
531,MUW,MAYADEVI,मायादेवी,50,Y
28,MEC,MECHINAGAR,मेची नगर,4,Y
302,MEL,MELAMCHI,मेलम्ची,26,Y
739,MEA,MELAULI,मेलौली,74,Y
694,MEE,MELLEKH,मेल्लेख,69,Y
295,MEU,MELUNG,मेलुङ्ग,25,Y
87,MEN,MENCHHAYAYEM,मेन्छयायेम,8,Y
6,MER,MERINGDEN,मेरिङ्गदेन ,1,Y
15,MIK,MIKLAJUNGA,मिक्लाजुंग,2,Y
59,MIL,MIKLAJUNGA,मिक्लजुङ,5,Y
5,MIW,MIKWAKHOLA,मिकवा खोला ,1,Y
162,MIR,MIRCHAIYA,मिर्चैयाँ,16,Y
181,MIT,MITHILA,मिथिला,17,Y
187,MIH,MITHILA BIHARI,मिथिला बिहारी,17,Y
460,MOD,MODI,मोदी,44,Y
717,MOH,MOHANYAL,मोहन्याल,71,Y
120,MOL,MOLUNG,मोलुङ,12,Y
637,MUD,MUDKECHULA,मुड्केचुला,62,Y
658,MUG,MUGUM KARMARONG,मुगुम कार्मारोंग,65,Y
188,MUK,MUKHIYAPATTI MUSAHARMIYA,मुखियापट्टी मुसहरमिया,17,Y
